item,itemLabel
http://www.wikidata.org/entity/Q77020,Wilhelm Heinrich Riehl
http://www.wikidata.org/entity/Q77045,Wilhelm Windelband
http://www.wikidata.org/entity/Q77057,Karl Robert Eduard von Hartmann
http://www.wikidata.org/entity/Q77144,Leo Strauss
http://www.wikidata.org/entity/Q77175,Friedrich Pollock
http://www.wikidata.org/entity/Q77350,Karlheinz Deschner
http://www.wikidata.org/entity/Q77436,Jakob Friedrich Fries
http://www.wikidata.org/entity/Q77888,Wilhelm von Humboldt
http://www.wikidata.org/entity/Q78496,Konrad Lorenz
http://www.wikidata.org/entity/Q78513,Otto Weininger
http://www.wikidata.org/entity/Q78570,Otto Neurath
http://www.wikidata.org/entity/Q78891,Hugo Bergmann
http://www.wikidata.org/entity/Q79969,Emma Goldman
http://www.wikidata.org/entity/Q80612,Anaximenes of Miletus
http://www.wikidata.org/entity/Q81082,Henri Poincaré
http://www.wikidata.org/entity/Q81244,Karl Popper
http://www.wikidata.org/entity/Q82049,George Berkeley
http://www.wikidata.org/entity/Q82409,Samuel Taylor Coleridge
http://www.wikidata.org/entity/Q82778,Pliny the Elder
http://www.wikidata.org/entity/Q83003,Antonio Gramsci
http://www.wikidata.org/entity/Q83041,Anaxagoras
http://www.wikidata.org/entity/Q83375,Empedocles
http://www.wikidata.org/entity/Q84233,Ludwig von Mises
http://www.wikidata.org/entity/Q85748,Johannes Hessen
http://www.wikidata.org/entity/Q88385,Johann Heinrich Samuel Formey
http://www.wikidata.org/entity/Q91137,Fyodor Stepun
http://www.wikidata.org/entity/Q91594,Rahul Peter Das
http://www.wikidata.org/entity/Q93113,Coluccio Salutati
http://www.wikidata.org/entity/Q93397,Max Adler
http://www.wikidata.org/entity/Q97403,Evangelos Konstantinou
http://www.wikidata.org/entity/Q102585,Johann Gottlieb Fichte
http://www.wikidata.org/entity/Q102851,Boethius
http://www.wikidata.org/entity/Q105556,Günter Abel
http://www.wikidata.org/entity/Q116075,Yehoshua Yakhot
http://www.wikidata.org/entity/Q116789,Boris Parygin
http://www.wikidata.org/entity/Q120664,Nikolay Danilevsky
http://www.wikidata.org/entity/Q121850,Laurentius Surius
http://www.wikidata.org/entity/Q122338,Albert Hofmann
http://www.wikidata.org/entity/Q123140,Jeanne Hersch
http://www.wikidata.org/entity/Q123597,Adolphe Pictet
http://www.wikidata.org/entity/Q123867,Marquis de Sade
http://www.wikidata.org/entity/Q124439,Anna Tumarkin
http://www.wikidata.org/entity/Q125247,Cratylus
